City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Aswan,EG,2021-04-25 14:09:21,24.0934,32.907,102.27,6,0,8.16,clear sky
206,Jiutai,CN,2021-04-25 14:09:21,44.1525,125.8328,46.4,39,0,2.24,clear sky
207,Pudozh,RU,2021-04-25 14:09:22,61.8099,36.5345,52.97,63,55,6.71,light rain
208,Harindanga,IN,2021-04-25 14:09:22,22.0383,88.3214,91.4,46,40,11.5,haze
209,Hay River,CA,2021-04-25 14:09:22,60.8156,-115.7999,8.6,78,100,3.44,overcast clouds
210,Sinnamary,GF,2021-04-25 14:09:23,5.3833,-52.95,81.93,78,51,10.42,broken clouds
211,Dawlatabad,AF,2021-04-25 14:09:23,36.4141,64.9053,82.2,14,29,9.51,scattered clouds
212,Vila Franca Do Campo,PT,2021-04-25 14:09:23,37.7167,-25.4333,62.6,67,75,14.97,broken clouds
213,Rakaia,NZ,2021-04-25 14:09:24,-43.75,172.0167,42.01,39,82,5.95,broken clouds
214,Paraiso,CR,2021-04-25 14:07:01,9.8383,-83.8656,77.0,73,40,16.11,scattered clouds
215,Constitucion,CL,2021-04-25 14:09:25,-35.3333,-72.4167,61.57,56,0,5.06,clear sky
216,Yatou,CN,2021-04-25 14:09:25,37.15,122.3833,49.12,80,100,3.87,light rain
217,Puke,AL,2021-04-25 14:09:25,42.0444,19.8997,71.6,24,0,6.91,clear sky
218,Victoria,HK,2021-04-25 14:06:54,22.2855,114.1577,75.0,91,100,1.99,overcast clouds
219,Richards Bay,ZA,2021-04-25 14:07:06,-28.783,32.0377,74.55,67,0,7.05,clear sky
220,Fernley,US,2021-04-25 14:05:36,39.608,-119.2518,48.99,37,100,7.0,overcast clouds
221,Port Hedland,AU,2021-04-25 14:09:26,-20.3167,118.5667,69.8,83,0,6.91,clear sky
222,Mount Gambier,AU,2021-04-25 14:09:27,-37.8333,140.7667,46.4,100,4,2.3,clear sky
223,Chapais,CA,2021-04-25 14:09:27,49.7834,-74.8492,33.8,75,20,12.66,few clouds
224,Jumla,NP,2021-04-25 14:09:27,29.2747,82.1838,52.56,38,65,2.93,broken clouds
225,Kavaratti,IN,2021-04-25 14:09:28,10.5669,72.642,84.7,71,10,10.6,clear sky
226,Bolivar,US,2021-04-25 14:09:28,37.6145,-93.4105,59.0,66,100,7.36,overcast clouds
227,Upington,ZA,2021-04-25 14:09:29,-28.4478,21.2561,89.6,12,0,8.05,clear sky
228,Rudbar,AF,2021-04-25 14:09:29,30.15,62.6,92.8,9,59,7.99,broken clouds
229,Bengkulu,ID,2021-04-25 14:09:29,-3.8004,102.2655,79.23,82,100,5.88,overcast clouds
230,Regeneracao,BR,2021-04-25 14:09:30,-6.2378,-42.6883,82.67,75,64,4.03,broken clouds
231,Paamiut,GL,2021-04-25 14:09:30,61.994,-49.6678,37.71,84,98,13.6,overcast clouds
232,Falam,MM,2021-04-25 14:09:30,22.9167,93.6833,67.51,23,0,4.34,clear sky
233,Los Llanos De Aridane,ES,2021-04-25 14:09:31,28.6585,-17.9182,69.8,64,75,6.91,broken clouds
234,Prince George,CA,2021-04-25 14:05:41,53.9166,-122.753,35.01,58,1,8.05,clear sky
235,Belmonte,BR,2021-04-25 14:09:31,-15.8631,-38.8828,82.4,69,40,14.97,scattered clouds
236,Oranjestad,AW,2021-04-25 14:08:15,12.524,-70.027,84.2,65,20,24.16,few clouds
237,Namibe,AO,2021-04-25 14:09:31,-15.1961,12.1522,87.8,62,20,16.11,few clouds
238,Ossora,RU,2021-04-25 14:09:32,59.2353,163.0719,30.88,97,100,3.56,overcast clouds
239,Kalmar,SE,2021-04-25 14:09:32,56.6616,16.3616,43.0,42,40,5.75,scattered clouds
240,Saldanha,ZA,2021-04-25 14:09:33,-33.0117,17.9442,71.6,60,100,6.91,overcast clouds
241,Turan,VN,2021-04-25 14:09:33,16.0678,108.2208,82.4,89,20,4.61,few clouds
242,Gat,IL,2021-04-25 14:09:33,31.61,34.7642,84.0,38,3,7.67,clear sky
243,Rawson,AR,2021-04-25 14:09:34,-43.3002,-65.1023,60.4,57,14,19.44,few clouds
244,Rumonge,BI,2021-04-25 14:07:00,-3.9736,29.4386,77.54,77,99,2.8,light rain
245,Springdale,US,2021-04-25 14:09:34,36.1867,-94.1288,59.0,100,1,5.75,clear sky
246,Seoul,KR,2021-04-25 14:09:12,37.5683,126.9778,60.8,51,0,3.44,clear sky
247,Lanxi,CN,2021-04-25 14:08:43,29.2195,119.477,62.35,93,74,3.36,broken clouds
248,Ajdabiya,LY,2021-04-25 14:09:35,30.7554,20.2263,69.48,59,0,25.7,clear sky
249,Baft,IR,2021-04-25 14:09:35,29.234,56.6057,71.65,15,97,14.0,overcast clouds
250,Garissa,KE,2021-04-25 14:09:36,-0.4536,39.6401,95.43,31,100,6.6,overcast clouds
251,Boueni,YT,2021-04-25 14:09:37,-12.9025,45.0761,86.0,70,40,8.05,scattered clouds
252,Elizabeth City,US,2021-04-25 14:09:37,36.2946,-76.2511,59.0,77,100,17.27,overcast clouds
253,Marshfield,US,2021-04-25 14:09:37,44.6689,-90.1718,41.0,55,1,4.61,clear sky
254,Vallenar,CL,2021-04-25 14:09:38,-28.5708,-70.7581,67.75,50,0,2.55,clear sky
255,Agidel,RU,2021-04-25 14:09:38,55.9077,53.9355,46.11,51,52,20.56,broken clouds
256,Adrar,MR,2021-04-25 14:09:38,20.5022,-10.0711,97.66,9,4,6.26,clear sky
257,Road Town,VG,2021-04-25 14:09:39,18.4167,-64.6167,82.4,65,40,9.22,scattered clouds
258,Mersing,MY,2021-04-25 14:09:39,2.4312,103.8405,78.8,89,25,3.44,scattered clouds
259,Canutama,BR,2021-04-25 14:09:39,-6.5339,-64.3831,81.5,86,60,0.74,broken clouds
